Club Name,Abbreviation,Logo URL
Barcelona,BARC,https://i.imgur.com/JF3qQSh.png
Blue Dolfins,BLUDOL,https://www.gomotionapp.com/fsbdo/team-logo/default/blue-dolfins-logos-full-type_083376-tsm-small.png
Cayman Islands,CYMN,https://i.imgur.com/wbAGd18.png
Cincinnati Marlins,MARLINS,https://i.imgur.com/vLTiKTp.png
Dynamo,DYNAMO,https://i.imgur.com/bUa6tMs.png
Elmhurst,ELMHRST,https://cdn.filestackcontent.com/6ixBK63iQ9SNpMRGzA2C?policy=eyJjYWxsIjpbInBpY2siLCJyZWFkIiwic3RhdCIsIndyaXRlIiwid3JpdGVVcmwiLCJzdG9yZSIsImNvbnZlcnQiLCJyZW1vdmUiLCJleGlmIiwicnVuV29ya2Zsb3ciXX0=&signature=c06b89236a7b61e56ea72003e02e26e5abb155f50f4f7dd626e3131c6eb0a8eb
Gladiators,GLAD,https://i.imgur.com/5AiYtXs.png
Great Lakes,GR8LKS,https://glaquatics.com/wp-content/uploads/sites/2445/2021/05/GLA_logoballtext_color-1024x364.png
Jax Water Polo,JAX,https://jaxwaterpolo.com/wp-content/uploads/2019/11/cropped-JWP-icon.png
JAXPatriot,JAXPAT,
Miami Whitecaps,WHTCAPS,https://i.imgur.com/YqgEyHF.png
NextLevel,NXLV,https://i.imgur.com/ODMVDd1.png
NIPC,NIPC,
North Idaho,NARWHAL,https://i.imgur.com/9jB9xpy.png
Orlando Thunder,THDR,https://i.imgur.com/A41S3j1.png
Orlando Thunder 14,THDR14,
Orlando Thunder Blue,THDRBLU,https://i.imgur.com/A41S3j1.png
Orlando Thunder Green,THDRGRN,https://i.imgur.com/A41S3j1.png
Orlando United,UNIT,https://i.imgur.com/Oze9Mzx.png
Patriot,PATS,https://i.imgur.com/9yZDDJc.jpg
Sarasota,SARA,https://i.imgur.com/BNVhiSh.png
Seminole,NOLES,https://i.imgur.com/g0DKHrx.png
SJ Cariba,SJCB,https://i.imgur.com/9lXNBzI.jpg
St. Andrews,STAND,
Tampa,TMPA,https://i.imgur.com/7s74k9O.png
Team Orlando,TO,https://i.imgur.com/k7Pn0qm.png
Team Orlando Black,TOBLK,
Wildkit,WLDKT,https://wildkitaquatics.com/main/imgs/wildkit.jpg
Wolverines,WOLV,
Wolverines Blue,WOLVBLU,
Wolverines Yellow,WOLVYW,
