Match#,Pool,Division,Date,Time,Dark Abbrev,Dark Club Name,Light Abbrev,Light Club Name
1,1,18u Girls,2026-05-15,15:30,TO,"Team Orlando",THDR,"Orlando Thunder"
2,1,18u Boys,2026-05-15,16:25,THDR,"Orlando Thunder",TOBLK,"Team Orlando Black"
3,2,16u Boys,2026-05-15,16:25,THDR,"Orlando Thunder",UNIT,"Orlando United"
4,3,16u Girls,2026-05-15,16:25,THDR,"Orlando Thunder",PATS,"Patriot"
5,1,16u Girls,2026-05-15,17:20,TO,"Team Orlando",THDR,"Orlando Thunder"
6,2,14u CoEd,2026-05-15,17:20,TO,"Team Orlando",PATS,"Patriot"
7,3,14u CoEd,2026-05-15,17:20,THDR,"Orlando Thunder",UNIT,"Orlando United"
8,1,18u Boys,2026-05-15,18:15,TO,"Team Orlando",NARWHAL,"North Idaho"
9,2,16u Girls,2026-05-15,18:15,THDR,"Orlando Thunder",NOLES,"Seminole"
10,3,12u CoEd,2026-05-15,18:15,TO,"Team Orlando",PATS,"Patriot"
11,1,18u Boys,2026-05-15,19:10,THDR,"Orlando Thunder",UNIT,"Orlando United"
12,2,16u Boys,2026-05-15,19:10,TO,"Team Orlando",DYNAMO,"Dynamo"
13,3,10u CoEd,2026-05-15,19:10,TO,"Team Orlando",THDR,"Orlando Thunder"
14,1,Masters,2026-05-15,20:00,TO,"Team Orlando",TO,"Team Orlando"
15,1,18u Boys,2026-05-16,07:00,TO,"Team Orlando",NXLV,"NextLevel"
16,2,16u Boys,2026-05-16,07:00,WOLV,"Wolverines",NOLES,"Seminole"
17,3,12u CoEd,2026-05-16,07:00,TO,"Team Orlando",THDR,"Orlando Thunder"
18,1,18u Boys,2026-05-16,07:55,GLAD,"Gladiators",MARLINS,"Cincinnati Marlins"
19,2,18u Girls,2026-05-16,07:55,TO,"Team Orlando",PATS,"Patriot"
20,3,12u CoEd,2026-05-16,07:55,GLAD,"Gladiators",PATS,"Patriot"
21,1,18u Boys,2026-05-16,08:50,UNIT,"Orlando United",TOBLK,"Team Orlando Black"
22,2,16u Boys,2026-05-16,08:50,THDR,"Orlando Thunder",GLAD,"Gladiators"
23,3,10u CoEd,2026-05-16,08:50,THDR,"Orlando Thunder",TO,"Team Orlando"
24,1,18u Boys,2026-05-16,09:45,NARWHAL,"North Idaho",NXLV,"NextLevel"
25,2,16u Girls,2026-05-16,09:45,TO,"Team Orlando",UNIT,"Orlando United"
26,3,14u CoEd,2026-05-16,09:45,PATS,"Patriot",WOLV,"Wolverines"
27,1,Masters,2026-05-16,10:40,TO,"Team Orlando",PATS,"Patriot"
28,2,16u Girls,2026-05-16,10:40,NOLES,"Seminole",PATS,"Patriot"
29,3,14u CoEd,2026-05-16,10:40,THDR,"Orlando Thunder",STAND,"St. Andrews"
